00m: 0 Edges, 0 Instrs
01m: 384 Edges, 5898 Instrs
02m: 388 Edges, 6116 Instrs
03m: 389 Edges, 6123 Instrs
04m: 391 Edges, 6133 Instrs
05m: 392 Edges, 6136 Instrs
06m: 392 Edges, 6136 Instrs
07m: 392 Edges, 6136 Instrs
08m: 392 Edges, 6136 Instrs
09m: 392 Edges, 6136 Instrs
10m: 392 Edges, 6136 Instrs
11m: 392 Edges, 6136 Instrs
12m: 392 Edges, 6136 Instrs
13m: 392 Edges, 6136 Instrs
14m: 392 Edges, 6136 Instrs
15m: 392 Edges, 6136 Instrs
16m: 394 Edges, 6237 Instrs
17m: 394 Edges, 6237 Instrs
18m: 396 Edges, 6244 Instrs
