00m: 0 Edges, 0 Instrs
01m: 160 Edges, 1714 Instrs
02m: 169 Edges, 1819 Instrs
03m: 169 Edges, 1819 Instrs
04m: 169 Edges, 1819 Instrs
05m: 169 Edges, 1819 Instrs
06m: 169 Edges, 1819 Instrs
07m: 169 Edges, 1819 Instrs
08m: 169 Edges, 1819 Instrs
09m: 169 Edges, 1819 Instrs
10m: 169 Edges, 1819 Instrs
11m: 169 Edges, 1819 Instrs
12m: 169 Edges, 1819 Instrs
13m: 169 Edges, 1819 Instrs
14m: 169 Edges, 1819 Instrs
15m: 169 Edges, 1819 Instrs
16m: 169 Edges, 1819 Instrs
17m: 169 Edges, 1819 Instrs
18m: 169 Edges, 1819 Instrs
19m: 169 Edges, 1819 Instrs
20m: 169 Edges, 1819 Instrs
21m: 169 Edges, 1819 Instrs
22m: 169 Edges, 1819 Instrs
23m: 169 Edges, 1819 Instrs
24m: 169 Edges, 1819 Instrs
25m: 169 Edges, 1819 Instrs
26m: 169 Edges, 1819 Instrs
27m: 169 Edges, 1819 Instrs
28m: 169 Edges, 1819 Instrs
29m: 169 Edges, 1819 Instrs
30m: 169 Edges, 1819 Instrs
31m: 170 Edges, 1826 Instrs
