00m: 0 Edges, 0 Instrs
01m: 32 Edges, 460 Instrs
02m: 32 Edges, 460 Instrs
03m: 32 Edges, 460 Instrs
04m: 32 Edges, 460 Instrs
05m: 32 Edges, 460 Instrs
06m: 32 Edges, 460 Instrs
07m: 32 Edges, 460 Instrs
08m: 32 Edges, 460 Instrs
09m: 32 Edges, 460 Instrs
10m: 32 Edges, 460 Instrs
11m: 32 Edges, 460 Instrs
12m: 32 Edges, 460 Instrs
13m: 32 Edges, 460 Instrs
14m: 32 Edges, 460 Instrs
15m: 32 Edges, 460 Instrs
16m: 32 Edges, 460 Instrs
17m: 32 Edges, 460 Instrs
18m: 32 Edges, 460 Instrs
19m: 32 Edges, 460 Instrs
20m: 32 Edges, 460 Instrs
21m: 32 Edges, 460 Instrs
22m: 32 Edges, 460 Instrs
23m: 32 Edges, 460 Instrs
24m: 32 Edges, 460 Instrs
25m: 32 Edges, 460 Instrs
26m: 32 Edges, 460 Instrs
27m: 32 Edges, 460 Instrs
28m: 32 Edges, 460 Instrs
29m: 32 Edges, 460 Instrs
30m: 32 Edges, 460 Instrs
31m: 32 Edges, 460 Instrs
32m: 32 Edges, 460 Instrs
33m: 32 Edges, 460 Instrs
34m: 32 Edges, 460 Instrs
35m: 32 Edges, 460 Instrs
36m: 32 Edges, 460 Instrs
37m: 32 Edges, 460 Instrs
38m: 32 Edges, 460 Instrs
39m: 32 Edges, 460 Instrs
40m: 32 Edges, 460 Instrs
41m: 32 Edges, 460 Instrs
42m: 32 Edges, 460 Instrs
43m: 32 Edges, 460 Instrs
44m: 32 Edges, 460 Instrs
45m: 32 Edges, 460 Instrs
46m: 32 Edges, 460 Instrs
47m: 32 Edges, 460 Instrs
48m: 32 Edges, 460 Instrs
49m: 32 Edges, 460 Instrs
50m: 32 Edges, 460 Instrs
51m: 32 Edges, 460 Instrs
52m: 32 Edges, 460 Instrs
53m: 32 Edges, 460 Instrs
54m: 32 Edges, 460 Instrs
55m: 32 Edges, 460 Instrs
56m: 32 Edges, 460 Instrs
57m: 33 Edges, 463 Instrs
