00m: 0 Edges, 0 Instrs
01m: 31 Edges, 457 Instrs
02m: 31 Edges, 457 Instrs
03m: 31 Edges, 457 Instrs
04m: 31 Edges, 457 Instrs
05m: 31 Edges, 457 Instrs
06m: 31 Edges, 457 Instrs
07m: 31 Edges, 457 Instrs
08m: 31 Edges, 457 Instrs
09m: 31 Edges, 457 Instrs
10m: 32 Edges, 460 Instrs
11m: 32 Edges, 460 Instrs
12m: 32 Edges, 460 Instrs
13m: 32 Edges, 460 Instrs
14m: 32 Edges, 460 Instrs
15m: 32 Edges, 460 Instrs
16m: 32 Edges, 460 Instrs
17m: 32 Edges, 460 Instrs
18m: 32 Edges, 460 Instrs
19m: 32 Edges, 460 Instrs
20m: 32 Edges, 460 Instrs
21m: 32 Edges, 460 Instrs
22m: 32 Edges, 460 Instrs
23m: 32 Edges, 460 Instrs
24m: 32 Edges, 460 Instrs
25m: 32 Edges, 460 Instrs
26m: 32 Edges, 460 Instrs
27m: 32 Edges, 460 Instrs
28m: 32 Edges, 460 Instrs
29m: 32 Edges, 460 Instrs
30m: 33 Edges, 463 Instrs
