00m: 0 Edges, 0 Instrs
01m: 46 Edges, 507 Instrs
02m: 46 Edges, 507 Instrs
03m: 46 Edges, 507 Instrs
04m: 46 Edges, 507 Instrs
05m: 46 Edges, 507 Instrs
06m: 46 Edges, 507 Instrs
07m: 46 Edges, 507 Instrs
08m: 46 Edges, 507 Instrs
09m: 46 Edges, 507 Instrs
10m: 46 Edges, 507 Instrs
11m: 46 Edges, 507 Instrs
12m: 46 Edges, 507 Instrs
13m: 46 Edges, 507 Instrs
14m: 46 Edges, 507 Instrs
15m: 46 Edges, 507 Instrs
16m: 46 Edges, 507 Instrs
17m: 46 Edges, 507 Instrs
18m: 46 Edges, 507 Instrs
19m: 46 Edges, 507 Instrs
20m: 46 Edges, 507 Instrs
21m: 46 Edges, 507 Instrs
22m: 46 Edges, 507 Instrs
23m: 46 Edges, 507 Instrs
24m: 46 Edges, 507 Instrs
25m: 46 Edges, 507 Instrs
26m: 46 Edges, 507 Instrs
27m: 46 Edges, 507 Instrs
28m: 46 Edges, 507 Instrs
29m: 46 Edges, 507 Instrs
30m: 46 Edges, 507 Instrs
31m: 46 Edges, 507 Instrs
32m: 46 Edges, 507 Instrs
33m: 46 Edges, 507 Instrs
34m: 46 Edges, 507 Instrs
35m: 46 Edges, 507 Instrs
36m: 46 Edges, 507 Instrs
37m: 46 Edges, 507 Instrs
38m: 46 Edges, 507 Instrs
39m: 46 Edges, 507 Instrs
40m: 46 Edges, 507 Instrs
41m: 46 Edges, 507 Instrs
42m: 46 Edges, 507 Instrs
43m: 46 Edges, 507 Instrs
44m: 46 Edges, 507 Instrs
45m: 46 Edges, 507 Instrs
46m: 46 Edges, 507 Instrs
47m: 46 Edges, 507 Instrs
48m: 46 Edges, 507 Instrs
49m: 46 Edges, 507 Instrs
50m: 46 Edges, 507 Instrs
51m: 46 Edges, 507 Instrs
52m: 46 Edges, 507 Instrs
53m: 46 Edges, 507 Instrs
54m: 46 Edges, 507 Instrs
55m: 46 Edges, 507 Instrs
56m: 46 Edges, 507 Instrs
57m: 46 Edges, 507 Instrs
58m: 46 Edges, 507 Instrs
59m: 47 Edges, 507 Instrs
