00m: 0 Edges, 0 Instrs
01m: 458 Edges, 5780 Instrs
02m: 467 Edges, 6078 Instrs
03m: 467 Edges, 6078 Instrs
04m: 474 Edges, 6146 Instrs
05m: 494 Edges, 6518 Instrs
06m: 495 Edges, 6525 Instrs
07m: 501 Edges, 6643 Instrs
08m: 502 Edges, 6644 Instrs
09m: 502 Edges, 6644 Instrs
10m: 502 Edges, 6644 Instrs
11m: 502 Edges, 6644 Instrs
12m: 502 Edges, 6644 Instrs
13m: 502 Edges, 6644 Instrs
14m: 504 Edges, 6669 Instrs
15m: 504 Edges, 6669 Instrs
16m: 504 Edges, 6669 Instrs
17m: 504 Edges, 6669 Instrs
18m: 504 Edges, 6669 Instrs
19m: 507 Edges, 6673 Instrs
20m: 517 Edges, 6751 Instrs
21m: 517 Edges, 6751 Instrs
22m: 517 Edges, 6751 Instrs
23m: 517 Edges, 6751 Instrs
24m: 517 Edges, 6751 Instrs
25m: 518 Edges, 6752 Instrs
26m: 518 Edges, 6752 Instrs
27m: 518 Edges, 6752 Instrs
28m: 518 Edges, 6752 Instrs
29m: 518 Edges, 6752 Instrs
30m: 518 Edges, 6752 Instrs
31m: 518 Edges, 6752 Instrs
32m: 518 Edges, 6752 Instrs
33m: 518 Edges, 6752 Instrs
34m: 518 Edges, 6752 Instrs
35m: 518 Edges, 6752 Instrs
36m: 520 Edges, 6764 Instrs
37m: 520 Edges, 6764 Instrs
38m: 520 Edges, 6764 Instrs
39m: 520 Edges, 6764 Instrs
40m: 520 Edges, 6764 Instrs
41m: 520 Edges, 6764 Instrs
42m: 520 Edges, 6764 Instrs
43m: 520 Edges, 6764 Instrs
44m: 520 Edges, 6764 Instrs
45m: 520 Edges, 6764 Instrs
46m: 520 Edges, 6764 Instrs
47m: 520 Edges, 6764 Instrs
48m: 520 Edges, 6764 Instrs
49m: 520 Edges, 6764 Instrs
50m: 520 Edges, 6764 Instrs
51m: 520 Edges, 6764 Instrs
52m: 520 Edges, 6764 Instrs
53m: 520 Edges, 6764 Instrs
54m: 520 Edges, 6764 Instrs
55m: 520 Edges, 6764 Instrs
56m: 520 Edges, 6764 Instrs
57m: 520 Edges, 6764 Instrs
58m: 521 Edges, 6764 Instrs
