00m: 0 Edges, 0 Instrs
01m: 438 Edges, 5487 Instrs
02m: 466 Edges, 5908 Instrs
03m: 476 Edges, 6150 Instrs
04m: 503 Edges, 6670 Instrs
05m: 512 Edges, 6722 Instrs
06m: 514 Edges, 6747 Instrs
07m: 514 Edges, 6747 Instrs
08m: 514 Edges, 6747 Instrs
09m: 514 Edges, 6747 Instrs
10m: 514 Edges, 6747 Instrs
11m: 514 Edges, 6747 Instrs
12m: 514 Edges, 6747 Instrs
13m: 514 Edges, 6747 Instrs
14m: 514 Edges, 6747 Instrs
15m: 514 Edges, 6747 Instrs
16m: 514 Edges, 6747 Instrs
17m: 514 Edges, 6747 Instrs
18m: 514 Edges, 6747 Instrs
19m: 518 Edges, 6752 Instrs
