00m: 0 Edges, 0 Instrs
01m: 38 Edges, 456 Instrs
02m: 38 Edges, 456 Instrs
03m: 38 Edges, 456 Instrs
04m: 38 Edges, 456 Instrs
05m: 38 Edges, 456 Instrs
06m: 38 Edges, 456 Instrs
07m: 38 Edges, 456 Instrs
08m: 38 Edges, 456 Instrs
09m: 38 Edges, 456 Instrs
10m: 38 Edges, 456 Instrs
11m: 38 Edges, 456 Instrs
12m: 38 Edges, 456 Instrs
13m: 38 Edges, 456 Instrs
14m: 38 Edges, 456 Instrs
15m: 38 Edges, 456 Instrs
16m: 38 Edges, 456 Instrs
17m: 38 Edges, 456 Instrs
18m: 38 Edges, 456 Instrs
19m: 38 Edges, 456 Instrs
20m: 38 Edges, 456 Instrs
21m: 38 Edges, 456 Instrs
22m: 38 Edges, 456 Instrs
23m: 38 Edges, 456 Instrs
24m: 38 Edges, 456 Instrs
25m: 38 Edges, 456 Instrs
26m: 38 Edges, 456 Instrs
27m: 38 Edges, 456 Instrs
28m: 38 Edges, 456 Instrs
29m: 38 Edges, 456 Instrs
30m: 38 Edges, 456 Instrs
31m: 38 Edges, 456 Instrs
32m: 38 Edges, 456 Instrs
33m: 38 Edges, 456 Instrs
34m: 38 Edges, 456 Instrs
35m: 38 Edges, 456 Instrs
36m: 38 Edges, 456 Instrs
37m: 39 Edges, 456 Instrs
