00m: 0 Edges, 0 Instrs
01m: 432 Edges, 5363 Instrs
02m: 464 Edges, 5904 Instrs
03m: 489 Edges, 6442 Instrs
04m: 500 Edges, 6630 Instrs
05m: 511 Edges, 6709 Instrs
06m: 511 Edges, 6709 Instrs
07m: 511 Edges, 6709 Instrs
08m: 514 Edges, 6713 Instrs
09m: 514 Edges, 6713 Instrs
10m: 514 Edges, 6713 Instrs
11m: 514 Edges, 6713 Instrs
12m: 514 Edges, 6713 Instrs
13m: 514 Edges, 6713 Instrs
14m: 514 Edges, 6713 Instrs
15m: 515 Edges, 6720 Instrs
16m: 518 Edges, 6752 Instrs
17m: 518 Edges, 6752 Instrs
18m: 518 Edges, 6752 Instrs
19m: 518 Edges, 6752 Instrs
20m: 518 Edges, 6752 Instrs
21m: 518 Edges, 6752 Instrs
22m: 518 Edges, 6752 Instrs
23m: 518 Edges, 6752 Instrs
24m: 518 Edges, 6752 Instrs
25m: 518 Edges, 6752 Instrs
26m: 518 Edges, 6752 Instrs
27m: 518 Edges, 6752 Instrs
28m: 518 Edges, 6752 Instrs
29m: 518 Edges, 6752 Instrs
30m: 518 Edges, 6752 Instrs
31m: 518 Edges, 6752 Instrs
32m: 518 Edges, 6752 Instrs
33m: 518 Edges, 6752 Instrs
34m: 518 Edges, 6752 Instrs
35m: 518 Edges, 6752 Instrs
36m: 518 Edges, 6752 Instrs
37m: 518 Edges, 6752 Instrs
38m: 518 Edges, 6752 Instrs
39m: 518 Edges, 6752 Instrs
40m: 518 Edges, 6752 Instrs
41m: 518 Edges, 6752 Instrs
42m: 518 Edges, 6752 Instrs
43m: 518 Edges, 6752 Instrs
44m: 518 Edges, 6752 Instrs
45m: 518 Edges, 6752 Instrs
46m: 518 Edges, 6752 Instrs
47m: 518 Edges, 6752 Instrs
48m: 518 Edges, 6752 Instrs
49m: 518 Edges, 6752 Instrs
50m: 518 Edges, 6752 Instrs
51m: 518 Edges, 6752 Instrs
52m: 518 Edges, 6752 Instrs
53m: 518 Edges, 6752 Instrs
54m: 520 Edges, 6764 Instrs
