00m: 0 Edges, 0 Instrs
01m: 123 Edges, 2335 Instrs
02m: 123 Edges, 2335 Instrs
03m: 123 Edges, 2335 Instrs
04m: 123 Edges, 2335 Instrs
05m: 123 Edges, 2335 Instrs
06m: 123 Edges, 2335 Instrs
07m: 123 Edges, 2335 Instrs
08m: 123 Edges, 2335 Instrs
09m: 123 Edges, 2335 Instrs
10m: 123 Edges, 2335 Instrs
11m: 123 Edges, 2335 Instrs
12m: 123 Edges, 2335 Instrs
13m: 123 Edges, 2335 Instrs
14m: 123 Edges, 2335 Instrs
15m: 123 Edges, 2335 Instrs
16m: 123 Edges, 2335 Instrs
17m: 123 Edges, 2335 Instrs
18m: 123 Edges, 2335 Instrs
19m: 123 Edges, 2335 Instrs
20m: 123 Edges, 2335 Instrs
21m: 123 Edges, 2335 Instrs
22m: 123 Edges, 2335 Instrs
23m: 123 Edges, 2335 Instrs
24m: 123 Edges, 2335 Instrs
25m: 123 Edges, 2335 Instrs
26m: 123 Edges, 2335 Instrs
27m: 123 Edges, 2335 Instrs
28m: 123 Edges, 2335 Instrs
29m: 123 Edges, 2335 Instrs
30m: 123 Edges, 2335 Instrs
31m: 123 Edges, 2335 Instrs
32m: 123 Edges, 2335 Instrs
33m: 123 Edges, 2335 Instrs
34m: 123 Edges, 2335 Instrs
35m: 123 Edges, 2335 Instrs
36m: 123 Edges, 2335 Instrs
37m: 123 Edges, 2335 Instrs
38m: 123 Edges, 2335 Instrs
39m: 123 Edges, 2335 Instrs
40m: 123 Edges, 2335 Instrs
41m: 123 Edges, 2335 Instrs
42m: 123 Edges, 2335 Instrs
43m: 123 Edges, 2335 Instrs
44m: 123 Edges, 2335 Instrs
45m: 123 Edges, 2335 Instrs
46m: 123 Edges, 2335 Instrs
47m: 123 Edges, 2335 Instrs
48m: 123 Edges, 2335 Instrs
49m: 123 Edges, 2335 Instrs
50m: 123 Edges, 2335 Instrs
51m: 123 Edges, 2335 Instrs
52m: 123 Edges, 2335 Instrs
53m: 123 Edges, 2335 Instrs
54m: 123 Edges, 2335 Instrs
55m: 123 Edges, 2335 Instrs
56m: 123 Edges, 2335 Instrs
57m: 123 Edges, 2335 Instrs
58m: 124 Edges, 2335 Instrs
