00m: 0 Edges, 0 Instrs
01m: 432 Edges, 5363 Instrs
02m: 458 Edges, 5780 Instrs
03m: 467 Edges, 6020 Instrs
04m: 488 Edges, 6435 Instrs
05m: 500 Edges, 6634 Instrs
06m: 504 Edges, 6641 Instrs
07m: 504 Edges, 6641 Instrs
08m: 504 Edges, 6641 Instrs
09m: 504 Edges, 6641 Instrs
10m: 504 Edges, 6641 Instrs
11m: 504 Edges, 6641 Instrs
12m: 504 Edges, 6641 Instrs
13m: 505 Edges, 6642 Instrs
14m: 505 Edges, 6642 Instrs
15m: 505 Edges, 6642 Instrs
16m: 505 Edges, 6642 Instrs
17m: 505 Edges, 6642 Instrs
18m: 505 Edges, 6642 Instrs
19m: 505 Edges, 6642 Instrs
20m: 505 Edges, 6642 Instrs
21m: 517 Edges, 6727 Instrs
22m: 517 Edges, 6727 Instrs
23m: 517 Edges, 6727 Instrs
24m: 517 Edges, 6727 Instrs
25m: 519 Edges, 6752 Instrs
