00m: 0 Edges, 0 Instrs
01m: 383 Edges, 5845 Instrs
02m: 390 Edges, 6126 Instrs
03m: 391 Edges, 6133 Instrs
04m: 391 Edges, 6133 Instrs
05m: 391 Edges, 6133 Instrs
06m: 392 Edges, 6136 Instrs
07m: 392 Edges, 6136 Instrs
08m: 392 Edges, 6136 Instrs
09m: 392 Edges, 6136 Instrs
10m: 392 Edges, 6136 Instrs
11m: 392 Edges, 6136 Instrs
12m: 392 Edges, 6136 Instrs
13m: 392 Edges, 6136 Instrs
14m: 392 Edges, 6136 Instrs
15m: 392 Edges, 6136 Instrs
16m: 392 Edges, 6136 Instrs
17m: 392 Edges, 6136 Instrs
18m: 392 Edges, 6136 Instrs
19m: 392 Edges, 6136 Instrs
20m: 392 Edges, 6136 Instrs
21m: 392 Edges, 6136 Instrs
22m: 392 Edges, 6136 Instrs
23m: 392 Edges, 6136 Instrs
24m: 392 Edges, 6136 Instrs
25m: 392 Edges, 6136 Instrs
26m: 392 Edges, 6136 Instrs
27m: 396 Edges, 6244 Instrs
