00m: 0 Edges, 0 Instrs
01m: 385 Edges, 5901 Instrs
02m: 389 Edges, 6119 Instrs
03m: 390 Edges, 6126 Instrs
04m: 391 Edges, 6129 Instrs
05m: 391 Edges, 6129 Instrs
06m: 391 Edges, 6129 Instrs
07m: 391 Edges, 6129 Instrs
08m: 391 Edges, 6129 Instrs
09m: 393 Edges, 6230 Instrs
10m: 395 Edges, 6237 Instrs
11m: 396 Edges, 6244 Instrs
12m: 396 Edges, 6244 Instrs
13m: 396 Edges, 6244 Instrs
14m: 396 Edges, 6244 Instrs
15m: 396 Edges, 6244 Instrs
16m: 396 Edges, 6244 Instrs
17m: 396 Edges, 6244 Instrs
18m: 396 Edges, 6244 Instrs
19m: 396 Edges, 6244 Instrs
20m: 396 Edges, 6244 Instrs
21m: 398 Edges, 6385 Instrs
