00m: 0 Edges, 0 Instrs
01m: 118 Edges, 1885 Instrs
02m: 126 Edges, 1938 Instrs
03m: 126 Edges, 1938 Instrs
04m: 127 Edges, 1945 Instrs
05m: 127 Edges, 1945 Instrs
06m: 127 Edges, 1945 Instrs
07m: 127 Edges, 1945 Instrs
08m: 127 Edges, 1945 Instrs
09m: 127 Edges, 1945 Instrs
10m: 127 Edges, 1945 Instrs
11m: 127 Edges, 1945 Instrs
12m: 127 Edges, 1945 Instrs
13m: 127 Edges, 1945 Instrs
14m: 127 Edges, 1945 Instrs
15m: 127 Edges, 1945 Instrs
16m: 132 Edges, 1990 Instrs
