00m: 0 Edges, 0 Instrs
01m: 290 Edges, 5240 Instrs
02m: 295 Edges, 5293 Instrs
03m: 295 Edges, 5293 Instrs
04m: 295 Edges, 5293 Instrs
05m: 295 Edges, 5293 Instrs
06m: 295 Edges, 5293 Instrs
07m: 297 Edges, 5296 Instrs
08m: 299 Edges, 5301 Instrs
09m: 302 Edges, 5349 Instrs
10m: 302 Edges, 5349 Instrs
11m: 302 Edges, 5349 Instrs
12m: 302 Edges, 5349 Instrs
13m: 302 Edges, 5349 Instrs
14m: 302 Edges, 5349 Instrs
15m: 305 Edges, 5397 Instrs
16m: 305 Edges, 5397 Instrs
17m: 305 Edges, 5397 Instrs
18m: 305 Edges, 5397 Instrs
19m: 305 Edges, 5397 Instrs
20m: 305 Edges, 5397 Instrs
21m: 305 Edges, 5397 Instrs
22m: 305 Edges, 5397 Instrs
23m: 305 Edges, 5397 Instrs
24m: 305 Edges, 5397 Instrs
25m: 305 Edges, 5397 Instrs
26m: 305 Edges, 5397 Instrs
27m: 305 Edges, 5397 Instrs
28m: 305 Edges, 5397 Instrs
29m: 305 Edges, 5397 Instrs
30m: 305 Edges, 5397 Instrs
31m: 305 Edges, 5397 Instrs
32m: 305 Edges, 5397 Instrs
33m: 305 Edges, 5397 Instrs
34m: 305 Edges, 5397 Instrs
35m: 305 Edges, 5397 Instrs
36m: 305 Edges, 5397 Instrs
37m: 305 Edges, 5397 Instrs
38m: 305 Edges, 5397 Instrs
39m: 305 Edges, 5397 Instrs
40m: 305 Edges, 5397 Instrs
41m: 305 Edges, 5397 Instrs
42m: 305 Edges, 5397 Instrs
43m: 305 Edges, 5397 Instrs
44m: 305 Edges, 5397 Instrs
45m: 305 Edges, 5397 Instrs
46m: 305 Edges, 5397 Instrs
47m: 305 Edges, 5397 Instrs
48m: 305 Edges, 5397 Instrs
49m: 305 Edges, 5397 Instrs
50m: 305 Edges, 5397 Instrs
51m: 305 Edges, 5397 Instrs
52m: 305 Edges, 5397 Instrs
53m: 305 Edges, 5397 Instrs
54m: 305 Edges, 5397 Instrs
55m: 305 Edges, 5397 Instrs
56m: 305 Edges, 5397 Instrs
57m: 305 Edges, 5397 Instrs
58m: 305 Edges, 5397 Instrs
59m: 305 Edges, 5397 Instrs
